Date,Sales,Orders,Customers,Region,Product_Category,Year,Month,Month_Name,Quarter
2023-04-01,16465.36,156.5,120.0,South,Electronics,2023,4,April,2
2023-05-01,16130.89,187.0,134.0,East,Electronics,2023,5,May,2
2023-06-01,16406.02,175.0,101.0,East,Office Supplies,2023,6,June,2
2023-07-01,15874.97,169.0,114.0,East,Furniture,2023,7,July,3
2023-08-01,15006.54,165.0,92.0,West,Electronics,2023,8,August,3
2023-09-01,13293.25,171.0,81.0,West,Office Supplies,2023,9,September,3
2023-10-01,13492.99,135.0,85.0,West,Furniture,2023,10,October,4
2023-11-01,14246.84,168.0,107.0,North,Office Supplies,2023,11,November,4
2023-12-01,15420.85,191.0,112.0,South,Electronics,2023,12,December,4
2024-01-01,15471.67,203.0,98.0,West,Electronics,2024,1,January,1
2024-02-01,16658.84,180.0,124.0,South,Electronics,2024,2,February,1
2024-03-01,16815.63,176.0,132.0,South,Office Supplies,2024,3,March,1
2024-04-01,17094.75,226.0,118.0,East,Office Supplies,2024,4,April,2
2024-05-01,13867.23,202.0,113.0,North,Electronics,2024,5,May,2
2024-06-01,18046.62,221.0,119.0,West,Office Supplies,2024,6,June,2
2024-07-01,16314.64,173.0,112.0,East,Electronics,2024,7,July,3
2024-08-01,16210.13,202.0,130.0,East,Electronics,2024,8,August,3
2024-09-01,15230.43,159.0,103.0,West,Furniture,2024,9,September,3
2024-10-01,14431.27,167.0,88.0,South,Office Supplies,2024,10,October,4
2024-11-01,15423.05,150.0,122.0,East,Electronics,2024,11,November,4
2024-12-01,16943.1,214.0,118.0,South,Electronics,2024,12,December,4
2025-01-01,16916.47,198.0,106.0,North,Office Supplies,2025,1,January,1
2025-02-01,18953.16,242.0,124.0,South,Furniture,2025,2,February,1
2025-03-01,16988.54,165.0,112.0,North,Furniture,2025,3,March,1
2025-04-01,19563.15,193.0,129.0,South,Electronics,2025,4,April,2
2025-05-01,18940.73,229.0,139.0,East,Office Supplies,2025,5,May,2
2025-06-01,18127.33,191.0,136.0,East,Furniture,2025,6,June,2
2025-07-01,17577.72,177.0,112.0,North,Office Supplies,2025,7,July,3
2025-08-01,15422.54,168.0,99.0,West,Office Supplies,2025,8,August,3
2025-09-01,16009.21,176.0,101.0,North,Electronics,2025,9,September,3
2025-10-01,16239.35,197.0,101.0,North,Furniture,2025,10,October,4
2025-11-01,17305.4,222.0,121.0,South,Electronics,2025,11,November,4
2025-12-01,16763.12,164.0,118.0,South,Furniture,2025,12,December,4
